證券名單
截 至 26/01/2026
股份代號	股份名稱（繁體）	股份名称（简体）
1	長和	长和
2	中電控股	中电控股
3	香港中華煤氣	香港中华煤气
4	九龍倉集團	九龙仓集团
5	匯豐控股	汇丰控股
6	電能實業	电能实业
7	智富資源投資	智富资源投资
8	電訊盈科	电讯盈科
9	金奧國際	金奥国际
10	恒隆集團	恒隆集团
11	恒生銀行	恒生银行
12	恒基地產	恒基地产
13	和黃醫藥	和黄医药
14	希慎興業	希慎兴业
16	新鴻基地產	新鸿基地产
17	新世界發展	新世界发展
18	東方企控集團	东方企控集团
19	太古股份公司A	太古股份公司A
20	商湯-W	商汤-W
21	大中華控股	大中华控股
22	茂盛控股	茂盛控股
23	東亞銀行	东亚银行
25	CHEVALIER INT'L	CHEVALIER INT'L
26	中華汽車	中华汽车
27	銀河娛樂	银河娱乐
28	天安	天安
29	達力集團	达力集团
30	雲白國際	云白国际
31	航天控股	航天控股
32	港通控股	港通控股
33	INTL GENIUS	INTL GENIUS
34	九龍建業	九龙建业
35	遠東發展	远东发展
36	遠東控股國際	远东控股国际
37	遠東酒店實業	远东酒店实业
38	第一拖拉機股份	第一拖拉机股份
39	中國北大荒	中国北大荒
40	金山科技工業	金山科技工业
41	鷹君	鹰君
42	東北電氣	东北电气
45	大酒店	大酒店
46	科聯系統	科联系统
48	中國汽車內飾	中国汽车内饰
50	香港小輪（集團）	香港小轮（集团）
51	海港企業	海港企业
52	大快活集團	大快活集团
53	國浩集團	国浩集团
55	中星集團控股	中星集团控股
57	震雄集團	震雄集团
58	新威國際	新威国际
59	天譽置業	天誉置业
60	香港食品投資	香港食品投资
61	綠領控股	绿领控股
62	載通	载通
63	中亞烯谷集團	中亚烯谷集团
64	結好控股	结好控股
65	弘海高新資源	弘海高新资源
66	港鐵公司	港铁公司
69	香格里拉（亞洲）	香格里拉（亚洲）
70	金粵控股	金粤控股
71	美麗華酒店	美丽华酒店
72	超媒體控股	超媒体控股
73	亞洲果業	亚洲果业
75	渝太地產	渝太地产
76	誼礫控股	谊砾控股
77	進智公共交通	进智公共交通
78	REGAL INT'L	REGAL INT'L
79	世紀建業	世纪建业
80	CAI控股	CAI控股
81	中國海外宏洋集團	中国海外宏洋集团
82	瘋狂體育	疯狂体育
83	信和置業	信和置业
84	寶光實業	宝光实业
85	中電華大科技	中电华大科技
86	新鴻基公司	新鸿基公司
87	太古股份公司B	太古股份公司B
88	TAI CHEUNG HOLD	TAI CHEUNG HOLD
89	大生地產	大生地产
90	普星能量	普星能量
92	冠軍科技集團	冠军科技集团
93	零在科技金融	零在科技金融
94	綠心集團	绿心集团
95	綠景中國地產	绿景中国地产
96	YUSEI	YUSEI
97	恒基發展	恒基发展
98	興發鋁業	兴发铝业
