1	NVDA	NVIDIA Corporation	4.56T	187.67	1.53%	187.14B
2	GOOG	Alphabet Inc.	3.96T	328.43	-0.73%	385.48B
3	GOOGL	Alphabet Inc.	3.96T	327.93	-0.79%	385.48B
4	AAPL	Apple Inc.	3.65T	248.04	-0.12%	416.16B
5	MSFT	Microsoft Corporation	3.46T	465.95	3.28%	293.81B
6	AMZN	Amazon.com, Inc.	2.56T	239.16	2.06%	691.33B
7	META	Meta Platforms, Inc.	1.66T	658.76	1.72%	189.46B
8	AVGO	Broadcom Inc.	1.52T	320.05	-1.67%	63.89B
9	TSLA	Tesla, Inc.	1.49T	449.06	-0.07%	95.63B
10	WMT	Walmart Inc.	938.33B	117.73	-0.08%	703.06B
11	ASML	ASML Holding N.V.	535.00B	1,389.04	-0.43%	37.67B
12	MU	Micron Technology, Inc.	449.81B	399.65	0.52%	42.31B
13	COST	Costco Wholesale Corporation	436.43B	983.25	0.73%	280.39B
14	AMD	Advanced Micro Devices, Inc.	422.77B	259.68	2.35%	32.03B
15	PLTR	Palantir Technologies Inc.	404.23B	169.60	2.23%	3.90B
16	NFLX	Netflix, Inc.	363.61B	86.12	3.09%	45.18B
17	CSCO	Cisco Systems, Inc.	294.71B	74.59	0.35%	57.70B
18	AZN	AstraZeneca PLC	285.90B	92.95	1.37%	58.13B
19	LRCX	Lam Research Corporation	273.74B	217.94	-1.25%	19.59B
20	AMAT	Applied Materials, Inc.	255.63B	322.38	1.13%	28.37B
21	INTC	Intel Corporation	225.13B	45.07	-17.03%	52.85B
22	LIN	Linde plc	210.86B	451.57	1.33%	33.50B
23	TMUS	T-Mobile US, Inc.	208.08B	186.03	0.35%	85.85B
24	PEP	PepsiCo, Inc.	199.98B	144.58	0.12%	92.37B
25	KLAC	KLA Corporation	198.77B	1,512.78	0.85%	12.52B
26	ISRG	Intuitive Surgical, Inc.	185.75B	523.99	-0.35%	10.06B
27	AMGN	Amgen Inc.	185.64B	344.75	-0.67%	35.97B
28	SHOP	Shopify Inc.	179.51B	137.89	0.18%	10.70B
29	APP	AppLovin Corporation	177.23B	524.41	0.47%	6.31B
30	TXN	Texas Instruments Incorporated	175.65B	193.31	-0.86%	17.27B
31	GILD	Gilead Sciences, Inc.	168.65B	135.93	3.65%	29.09B
32	QCOM	QUALCOMM Incorporated	166.42B	155.82	-1.25%	44.28B
33	BKNG	Booking Holdings Inc.	164.34B	5,098.50	-1.02%	26.04B
34	INTU	Intuit Inc.	156.94B	563.97	2.97%	19.43B
35	PDD	PDD Holdings Inc.	151.02B	106.38	0.34%	58.79B
36	ADI	Analog Devices, Inc.	149.32B	305.60	-0.95%	11.02B
37	HON	Honeywell International Inc.	140.60B	221.46	-0.49%	40.67B
38	PANW	Palo Alto Networks, Inc.	125.59B	180.18	-1.15%	9.56B
39	ADBE	Adobe Inc.	123.59B	301.07	0.45%	23.77B
40	ARM	Arm Holdings plc	123.15B	116.07	-2.63%	4.41B
41	VRTX	Vertex Pharmaceuticals Incorporated	118.84B	468.41	0.23%	11.72B
42	CRWD	CrowdStrike Holdings, Inc.	114.07B	452.49	-0.28%	4.57B
43	SNY	Sanofi	112.73B	47.20	1.51%	53.89B
44	SBUX	Starbucks Corporation	111.00B	97.62	1.87%	37.18B
45	MELI	MercadoLibre, Inc.	108.35B	2,137.29	-0.76%	26.19B
46	CMCSA	Comcast Corporation	106.77B	29.30	0.24%	123.31B
47	CEG	Constellation Energy Corporation	104.74B	289.06	0.60%	24.84B
48	ADP	Automatic Data Processing, Inc.	104.30B	257.87	-0.77%	20.90B
49	CME	CME Group Inc.	101.95B	282.74	0.48%	6.39B
